,Price,Area,Facade,Building Line,Floors,Bedrooms,Pulish Time,Type,ID,Toilets,Direction,District
6161,40000,30.0,4.0,4.0,5,3,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497975.7837994,3,,None
6162,77000,52.0,4.0,2.0,5,4,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497976.900816,4,,None
6164,866,80.0,5.0,6.0,None,None,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497997.8620777,None,,None
6166,48500,43.0,6.0,3.0,6,5,01/09/2022,Tin thường,batdongsan_so_com_vn_1670497999.8894007,5,,None
6167,80000,94.0,6.0,1.0,3,3,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498001.0207481,3,,None
6174,79000,50.0,5.0,3.0,5,4,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498011.733951,4,,None
6176,79000,50.0,5.0,3.0,5,4,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498013.8473651,4,,None
6177,90000,65.0,5.0,15.0,5,4,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498014.877258,5,,None
6178,40000,30.0,3.0,10.0,5,4,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498016.211976,4,,None
6180,16000,60.0,6.0,21.0,1,2,01/09/2022,Tin thường,batdongsan_so_com_vn_1670498018.3882055,2,,None
6182,48000,45.0,5.0,4.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498020.3244228,4,,None
6184,750000,172.0,9.0,20.0,1,1,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498041.520721,1,,None
6185,140000,56.0,5.0,5.0,5,None,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498042.7494214,None,,None
6188,21900,31.0,4.0,2.0,2,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498046.5842545,2,,Hà Đông
6189,140000,75.0,6.0,1.0,6,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498047.4721098,10,,None
6192,475000,220.0,8.0,15.0,4,5,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498053.7317765,5,,None
6196,200000,100.0,6.0,5.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498058.1480324,3,,None
6198,35000,36.0,4.0,3.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498063.9587567,4,,None
6201,138830,250.0,10.0,15.0,3,None,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498067.4473917,None,,None
6203,42000,40.0,6.0,3.0,3,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498069.6704476,3,,None
6207,1170000,390.0,37.0,20.0,3,8,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498093.0612366,8,,None
6213,205000,25.0,5.0,7.0,5,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498104.6059587,4,,None
6214,30000,40.0,3.0,3.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498105.9318383,4,,None
6220,58000,50.0,4.0,3.0,5,5,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498115.4054854,4,,None
6222,198000,100.0,5.0,4.0,7,10,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498117.651481,6,,None
6223,866,75.0,4.0,7.0,None,None,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498118.7355793,None, Đông nam,None
6224,55000,48.0,5.0,2.0,4,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498138.654717,None,,None
6225,38000,45.0,5.0,15.0,4,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498139.6045806,4,,None
6226,30000,30.0,4.0,3.0,5,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498140.448264,4,,None
6227,36000,40.0,4.0,3.0,5,6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498141.4825275,4,,None
6228,118000,50.0,3.0,6.0,6,6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498142.7083416,5,,None
6229,193000,115.0,45.0,6.0,6,8,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498143.830378,9,,None
6235,95000,80.0,5.0,15.0,1,2,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498149.947054,2,,Long Biên
6236,34000,50.0,5.0,2.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498150.9004416,4,,None
6238,75000,46.0,4.0,3.0,5,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498153.0121763,4,,None
6239,32000,45.0,5.0,2.0,5,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498153.9766324,5,,None
6240,75000,46.0,4.0,3.0,5,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498154.9160862,4,,None
6241,225000,110.0,20.0,10.0,5,6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498156.078975,None,,None
6242,69000,55.0,4.0,5.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498157.0446231,4,,None
6245,866,80.0,5.0,6.0,None,None,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498179.0253088,None,,None
6249,36000,40.0,4.0,4.0,5,6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498183.9428554,5,,None
6252,34000,76.0,7.0,1.0,None,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498187.4453003,2,,None
6254,63000,48.0,4.0,3.0,5,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498189.4552755,4,,None
6255,59000,38.0,4.0,3.0,5,5,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498190.292674,4,,None
6257,270000,50.0,6.0,10.0,6,6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498192.5365949,8,,None
6262,38500,46.0,4.0,3.0,2,2,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498197.9392908,2,,None
6263,37500,44.0,4.0,3.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498199.0383644,4,,None
6264,250000,110.0,8.0,25.0,6,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498218.5272388,5,,None
6265,34000,33.0,5.0,3.0,4,3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498221.1010427,3,,None
6267,36000,35.0,4.0,5.0,4,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498222.926666,None,,Bắc Từ Liêm
6268,100000,40.0,4.0,15.0,6,4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498224.1115441,4,,None
6273,8100,90.0,5.0,60.0,5,6,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498229.4476364,6,,None
6274,91000,260.0,15.0,18.0,6,6,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498230.521167,6,,None
6276,28000,30.0,3.0,1.0,5,3,18/06/2021,Tin thường,batdongsan_so_com_vn_1670498232.3851848,None,,None
6280,35000,33.0,42.0,3.0,5,4,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498236.7315605,4,,None
6290,23000,75.0,4.0,2.0,1,None,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498269.5384333,None,,None
6292,37000,35.0,4.0,2.0,5,3,30/08/2022,Tin thường,batdongsan_so_com_vn_1670498271.5199914,4,,None
